user_id,store_id,day,visits,purchases,purchase_amount,converted,session_time_minutes,feature_x,feature_flag,signup_days_ago,repeat_customer,rating
37,Store_C,2024-06-05,5,1,75.00,1,8.0,0.22,0,110,False,3.8
38,Store_C,2024-06-06,6,0,0.00,0,6.5,0.12,0,108,False,3.4
39,Store_D,2024-06-05,29,11,1600.00,1,62.0,1.45,1,691,True,4.9
40,Store_D,2024-06-06,31,13,1700.00,1,68.0,1.55,1,689,True,5.0
41,Store_E,2024-06-05,3,0,0.00,0,4.0,0.05,0,23,False,3.1
42,Store_E,2024-06-06,4,1,30.00,1,5.0,0.12,0,20,False,3.5
43,Store_F,2024-06-05,10,2,120.00,1,17.0,0.5,1,242,False,3.9
44,Store_F,2024-06-06,13,3,190.00,1,22.0,0.65,1,240,True,4.1
45,Store_G,2024-06-05,39,14,2600.00,1,82.0,2.05,1,892,True,5.0
46,Store_G,2024-06-06,41,15,2750.00,1,88.0,2.15,1,890,True,5.0
47,Store_H,2024-06-05,8,1,60.00,1,9.5,0.28,0,50,False,3.6
48,Store_H,2024-06-06,10,2,120.00,1,11.0,0.32,0,48,False,4.0
49,Store_A,2024-06-07,13,3,300.00,1,26.0,0.55,1,385,True,4.4
50,Store_B,2024-06-07,23,5,900.00,1,52.0,1.15,1,397,True,4.9
51,Store_C,2024-06-07,5,0,0.00,0,6.0,0.08,0,105,False,3.2
52,Store_D,2024-06-07,33,14,1800.00,1,72.0,1.6,1,687,True,4.9
53,Store_E,2024-06-07,4,1,45.00,1,6.5,0.18,0,18,False,3.7
54,Store_F,2024-06-07,12,2,140.00,1,19.0,0.6,1,238,True,4.0
55,Store_G,2024-06-07,40,16,3100.00,1,90.0,2.2,1,888,True,5.0
56,Store_H,2024-06-07,9,1,55.00,1,10.5,0.24,0,45,False,3.9
57,Store_A,2024-06-08,10,2,210.00,1,22.0,0.48,1,383,True,4.3
58,Store_B,2024-06-08,19,3,650.00,1,46.0,0.92,1,395,True,4.6
59,Store_C,2024-06-08,6,1,70.00,1,8.5,0.2,0,100,False,3.8
60,Store_D,2024-06-08,30,10,1500.00,1,64.0,1.5,1,685,True,4.8
61,Store_E,2024-06-08,2,0,0.00,0,3.0,0.02,0,15,False,3.0
62,Store_F,2024-06-08,11,2,160.00,1,21.0,0.58,1,236,True,4.1
63,Store_G,2024-06-08,38,13,2400.00,1,78.0,1.95,1,886,True,4.9
64,Store_H,2024-06-08,7,0,0.00,0,8.0,0.15,0,40,False,3.4
65,Store_A,2024-06-09,12,4,380.00,1,30.0,0.65,1,380,True,4.6
66,Store_B,2024-06-09,21,4,800.00,1,51.0,1.05,1,393,True,4.7
67,Store_C,2024-06-09,5,0,0.00,0,6.0,0.1,0,98,False,3.3
68,Store_D,2024-06-09,34,12,1700.00,1,69.0,1.55,1,683,True,4.9
69,Store_E,2024-06-09,3,0,0.00,0,4.0,0.05,0,12,False,3.2
70,Store_F,2024-06-09,10,1,95.00,1,16.0,0.38,0,234,False,3.7
71,Store_G,2024-06-09,37,12,2300.00,1,76.0,1.85,1,884,True,4.8
72,Store_H,2024-06-09,8,1,70.00,1,9.0,0.22,0,38,False,3.8
73,Store_A,2024-06-10,14,3,330.00,1,27.0,0.6,1,378,True,4.5
74,Store_B,2024-06-10,20,3,720.00,1,49.0,0.98,1,391,True,4.6
75,Store_C,2024-06-10,6,1,80.00,1,9.0,0.2,0,95,False,3.9
76,Store_D,2024-06-10,29,9,1400.00,1,60.0,1.35,1,681,True,4.7
77,Store_E,2024-06-10,4,0,0.00,0,5.5,0.12,0,10,False,3.1
78,Store_F,2024-06-10,13,3,200.00,1,23.0,0.7,1,232,True,4.2
79,Store_G,2024-06-10,42,17,3300.00,1,92.0,2.3,1,882,True,5.0
80,Store_H,2024-06-10,9,2,110.00,1,11.5,0.33,0,36,False,4.0
