user_id,store_id,date,visits,purchases,purchase_amount,converted,session_time_minutes,device,campaign,geo_region,population_group,feature1,feature2,feature3,is_fraud,model_score,deployed,prediction_timestamp,drift_flag
32,Store_E,2024-05-11,2,0,0.0,0,3.0,mobile,Organic,North,Group3,0.01,0.03,0.01,0,0.02,False,2024-06-01T10:35:00,0
33,Store_F,2024-05-11,11,2,160.0,1,21.0,web,Email,South,Group1,0.47,0.8,0.03,0,0.52,True,2024-06-01T10:40:00,0
34,Store_G,2024-05-11,38,13,2400.0,1,78.0,web,Promo,West,Group1,2.0,2.15,0.21,0,0.97,True,2024-06-01T10:45:00,0
35,Store_H,2024-05-11,7,0,0.0,0,8.0,mobile,Organic,South,Group3,0.06,0.1,0.01,0,0.05,False,2024-06-01T10:50:00,0
36,Store_A,2024-05-12,12,4,380.0,1,30.0,web,Email,North,Group2,0.78,1.1,0.06,0,0.80,True,2024-06-01T10:55:00,0
37,Store_B,2024-05-12,21,4,800.0,1,51.0,web,Ad,South,Group1,1.05,1.7,0.12,0,0.90,True,2024-06-01T11:00:00,0
38,Store_C,2024-05-12,5,0,0.0,0,6.0,mobile,Organic,East,Group3,0.03,0.06,0.01,0,0.02,False,2024-06-01T11:05:00,0
39,Store_D,2024-05-12,34,12,1700.0,1,69.0,web,Promo,West,Group2,1.7,2.05,0.17,0,0.95,True,2024-06-01T11:10:00,0
40,Store_E,2024-05-12,3,0,0.0,0,4.5,mobile,Organic,North,Group3,0.02,0.05,0.01,0,0.02,False,2024-06-01T11:15:00,0
41,Store_F,2024-05-13,13,3,200.0,1,23.0,web,Email,South,Group1,0.6,1.0,0.04,0,0.66,True,2024-06-01T11:20:00,0
42,Store_G,2024-05-13,42,17,3300.0,1,92.0,web,Promo,West,Group1,2.4,2.6,0.26,0,0.99,True,2024-06-01T11:25:00,0
43,Store_H,2024-05-13,9,2,110.0,1,11.5,mobile,Organic,South,Group3,0.22,0.33,0.03,0,0.28,False,2024-06-01T11:30:00,0
44,Store_A,2024-05-14,14,3,330.0,1,27.0,web,Email,North,Group2,0.68,1.08,0.05,0,0.74,True,2024-06-01T11:35:00,0
45,Store_B,2024-05-14,20,3,720.0,1,49.0,web,Ad,South,Group1,1.0,1.5,0.11,0,0.89,True,2024-06-01T11:40:00,0
46,Store_C,2024-05-14,6,1,80.0,1,9.0,mobile,Organic,East,Group3,0.16,0.24,0.02,0,0.20,False,2024-06-01T11:45:00,0
47,Store_D,2024-05-14,29,9,1400.0,1,60.0,web,Promo,West,Group2,1.3,1.8,0.13,0,0.92,True,2024-06-01T11:50:00,0
48,Store_E,2024-05-14,4,0,0.0,0,5.5,mobile,Organic,North,Group3,0.03,0.07,0.01,0,0.04,False,2024-06-01T11:55:00,0
49,Store_F,2024-05-15,11,2,120.0,1,17.0,web,Email,South,Group1,0.45,0.78,0.03,0,0.50,True,2024-06-01T12:00:00,0
50,Store_G,2024-05-15,39,14,2600.0,1,82.0,web,Promo,West,Group1,2.05,2.18,0.19,0,0.97,True,2024-06-01T12:05:00,0
51,Store_H,2024-05-15,8,1,60.0,1,9.0,mobile,Organic,South,Group3,0.17,0.27,0.02,0,0.23,False,2024-06-01T12:10:00,0
52,Store_A,2024-05-16,13,4,380.0,1,30.0,web,Email,North,Group2,0.81,1.12,0.06,0,0.83,True,2024-06-01T12:15:00,0
53,Store_B,2024-05-16,22,5,900.0,1,51.0,web,Ad,South,Group1,1.12,1.62,0.11,0,0.93,True,2024-06-01T12:20:00,0
54,Store_C,2024-05-16,5,0,0.0,0,6.0,mobile,Organic,East,Group3,0.03,0.05,0.01,0,0.02,False,2024-06-01T12:25:00,0
55,Store_D,2024-05-16,33,14,1800.0,1,72.0,web,Promo,West,Group2,1.8,2.25,0.18,0,0.98,True,2024-06-01T12:30:00,0
56,Store_E,2024-05-16,2,0,0.0,0,3.0,mobile,Organic,North,Group3,0.01,0.02,0.01,0,0.01,False,2024-06-01T12:35:00,0
57,Store_F,2024-05-17,12,2,140.0,1,19.0,web,Email,South,Group1,0.48,0.82,0.03,0,0.55,True,2024-06-01T12:40:00,0
58,Store_G,2024-05-17,40,16,3100.0,1,90.0,web,Promo,West,Group1,2.35,2.45,0.24,0,0.99,True,2024-06-01T12:45:00,0
59,Store_H,2024-05-17,9,1,55.0,1,10.0,mobile,Organic,South,Group3,0.19,0.29,0.02,0,0.27,False,2024-06-01T12:50:00,0
60,Store_A,2024-05-17,11,3,300.0,1,25.0,web,Email,North,Group2,0.62,1.0,0.04,0,0.68,True,2024-06-01T12:55:00,0
