id,entity,date,return,price,volume,event_count,max_drawdown,feature1,feature2,feature3,feature4,feature5,treatment,outcome,censor_time,event_observed,group,heavy_tail
16,A,2024-01-06,-0.060,95.4,1600,1,0.15,0.90,3.5,5.2,2.0,1,0,1,8,1,X,5.6
17,B,2024-01-06,0.012,99.9,820,0,0.02,0.08,1.1,2.1,0.33,0,1,0,26,1,Y,0.48
18,C,2024-01-06,0.001,105.1,2500,0,0.01,0.03,0.85,1.6,0.20,0,0,0,58,1,X,0.14
19,A,2024-01-07,-0.200,80.2,1400,1,0.30,1.80,5.0,7.5,3.2,1,0,1,3,1,Y,12.0
20,B,2024-01-07,0.018,101.8,900,0,0.02,0.06,0.95,1.9,0.28,1,1,0,24,1,X,0.22
21,C,2024-01-07,0.009,106.1,2700,0,0.01,0.025,0.7,1.5,0.18,0,0,0,62,1,Y,0.11
22,A,2024-01-08,0.040,110.6,1900,0,0.00,0.01,0.5,1.2,0.05,0,0,0,40,1,X,0.06
23,B,2024-01-08,-0.030,98.0,780,0,0.08,0.65,2.8,4.2,1.4,1,1,1,15,1,Y,2.2
24,C,2024-01-08,0.006,106.7,2600,0,0.01,0.02,0.6,1.3,0.12,0,0,0,64,1,X,0.09
25,A,2024-01-09,-0.005,109.0,1700,0,0.03,0.25,1.6,3.1,0.8,0,0,0,29,1,Y,0.72
26,B,2024-01-09,-0.250,75.0,700,1,0.35,2.10,5.8,8.4,4.6,1,1,1,4,1,X,18.5
27,C,2024-01-09,0.020,107.9,2800,0,0.01,0.015,0.55,1.1,0.08,0,0,0,66,1,Y,0.08
28,A,2024-01-10,0.011,110.2,1650,0,0.02,0.07,1.05,2.0,0.4,0,0,0,32,1,X,0.35
29,B,2024-01-10,0.007,99.7,820,0,0.03,0.18,1.4,2.7,0.6,1,1,0,21,1,Y,0.58
30,C,2024-01-10,0.003,108.9,2900,0,0.01,0.02,0.6,1.2,0.1,0,0,0,68,1,X,0.09
31,A,2024-01-11,-0.015,108.3,1700,0,0.05,0.40,2.0,3.6,1.0,0,0,0,23,1,Y,1.1
32,B,2024-01-11,0.030,102.7,840,0,0.01,0.04,0.9,1.7,0.22,1,1,0,19,1,X,0.28
33,C,2024-01-11,-0.400,60.0,3200,1,0.50,3.10,8.0,12.0,7.5,0,0,1,1,1,Y,40.0
34,A,2024-01-12,0.022,111.8,1750,0,0.01,0.03,0.85,1.8,0.2,0,0,0,36,1,X,0.2
35,B,2024-01-12,-0.010,101.7,860,0,0.03,0.22,1.5,2.9,0.7,1,1,0,25,1,Y,0.7
36,C,2024-01-12,0.016,110.7,3000,0,0.005,0.01,0.5,1.1,0.06,0,0,0,70,1,X,0.05
37,A,2024-01-13,-0.090,100.6,1600,1,0.20,1.00,3.8,5.8,2.4,1,0,1,6,1,Y,6.8
38,B,2024-01-13,0.013,103.4,900,0,0.02,0.06,1.0,1.9,0.3,0,1,0,22,1,X,0.33
39,C,2024-01-13,0.005,111.2,3100,0,0.004,0.008,0.45,1.0,0.04,0,0,0,72,1,Y,0.03
40,A,2024-01-14,0.002,111.4,1550,0,0.03,0.28,1.6,3.0,0.85,0,0,0,30,1,X,0.8
41,B,2024-01-14,-0.035,98.9,880,0,0.09,0.75,2.9,4.5,1.6,1,1,1,14,1,Y,3.0
42,C,2024-01-14,0.018,112.4,3200,0,0.01,0.02,0.6,1.2,0.09,0,0,0,74,1,X,0.06
43,A,2024-01-15,-0.007,110.6,1580,0,0.04,0.35,1.8,3.4,0.95,0,0,0,28,1,Y,1.0
44,B,2024-01-15,0.021,100.8,890,0,0.01,0.03,0.9,1.6,0.24,1,1,0,17,1,X,0.26
45,C,2024-01-15,-0.180,85.0,3300,1,0.28,1.70,4.8,7.2,3.0,0,0,1,7,1,Y,10.0
46,A,2024-01-16,0.026,113.8,1620,0,0.005,0.01,0.5,1.1,0.07,0,0,0,38,1,X,0.05
47,B,2024-01-16,-0.055,95.0,870,0,0.18,0.95,3.6,5.5,2.1,1,1,1,9,1,Y,7.0
48,C,2024-01-16,0.009,113.9,3350,0,0.01,0.015,0.6,1.2,0.11,0,0,0,76,1,X,0.07
49,A,2024-01-17,0.014,114.5,1600,0,0.02,0.06,1.05,2.0,0.35,0,0,0,34,1,Y,0.4
50,B,2024-01-17,0.006,101.4,880,0,0.03,0.2,1.45,2.8,0.65,1,1,0,23,1,X,0.6
51,C,2024-01-17,0.004,114.0,3400,0,0.008,0.01,0.55,1.05,0.09,0,0,0,78,1,Y,0.05
52,A,2024-01-18,-0.300,80.0,1500,1,0.38,2.80,7.0,10.5,6.0,1,0,1,2,1,X,22.0
53,B,2024-01-18,0.017,102.7,870,0,0.02,0.05,0.95,1.9,0.27,1,1,0,20,1,Y,0.3
54,C,2024-01-18,0.019,115.2,3450,0,0.009,0.012,0.5,1.0,0.06,0,0,0,80,1,X,0.04
55,A,2024-01-19,-0.025,112.9,1520,0,0.07,0.6,2.4,3.9,1.2,0,0,0,16,1,Y,2.0
56,B,2024-01-19,-0.150,88.0,860,1,0.28,1.65,4.6,6.9,3.4,1,1,1,6,1,X,9.5
57,C,2024-01-19,0.021,116.8,3500,0,0.01,0.02,0.55,1.05,0.08,0,0,0,82,1,Y,0.05
58,A,2024-01-20,0.010,117.9,1550,0,0.02,0.08,1.0,2.1,0.38,0,0,0,31,1,X,0.36
59,B,2024-01-20,0.002,103.0,900,0,0.04,0.3,1.6,3.2,0.9,1,1,0,24,1,Y,0.9
60,C,2024-01-20,-0.500,50.0,3600,1,0.60,4.00,9.5,14.0,8.5,0,0,1,1,1,X,60.0
